"Symbol","Company","FiscalDateEnding","ReportedEPS"
"AAPL","Apple Inc","2024-12-31","2.4"
"AAPL","Apple Inc","2024-09-30","6.75"
"AAPL","Apple Inc","2023-09-30","6.12"
"AAPL","Apple Inc","2022-09-30","6.11"
"AAPL","Apple Inc","2021-09-30","5.62"
"AAPL","Apple Inc","2020-09-30","3.27"
"AAPL","Apple Inc","2019-09-30","2.98"
"AAPL","Apple Inc","2018-09-30","2.97"
"AAPL","Apple Inc","2017-09-30","2.3"
"AAPL","Apple Inc","2016-09-30","2.0675"
"AAPL","Apple Inc","2015-09-30","2.3"
"AAPL","Apple Inc","2014-09-30","1.6075"
"AAPL","Apple Inc","2013-09-30","1.415"
"AAPL","Apple Inc","2012-09-30","1.5775"
"AAPL","Apple Inc","2011-09-30","0.9875"
"AAPL","Apple Inc","2010-09-30","0.54"
"AAPL","Apple Inc","2009-09-30","0.2225"
"AAPL","Apple Inc","2008-09-30","0.19"
"AAPL","Apple Inc","2007-09-30","0.14"
"AAPL","Apple Inc","2006-09-30","0.08"
"AAPL","Apple Inc","2005-09-30","0.04"
"AAPL","Apple Inc","2004-09-30","0.05"
"AAPL","Apple Inc","2003-09-30","0.0112"
"AAPL","Apple Inc","2002-09-30","0.0198"
"AAPL","Apple Inc","2001-09-30","0.0067"
"AAPL","Apple Inc","2000-09-30","0.04"
"AAPL","Apple Inc","1999-09-30","0.05"
"AAPL","Apple Inc","1998-09-30","0.04"
"AAPL","Apple Inc","1997-09-30","-0.1114"
"AAPL","Apple Inc","1996-09-30","-0.1082"
"MSFT","Microsoft Corporation","2024-12-31","6.53"
"MSFT","Microsoft Corporation","2024-06-30","11.81"
"MSFT","Microsoft Corporation","2023-06-30","9.81"
"MSFT","Microsoft Corporation","2022-06-30","9.2"
"MSFT","Microsoft Corporation","2021-06-30","7.97"
"MSFT","Microsoft Corporation","2020-06-30","5.75"
"MSFT","Microsoft Corporation","2019-06-30","4.75"
"MSFT","Microsoft Corporation","2018-06-30","3.88"
"MSFT","Microsoft Corporation","2017-06-30","3.31"
"MSFT","Microsoft Corporation","2016-06-30","2.76"
"MSFT","Microsoft Corporation","2015-06-30","2.5"
"MSFT","Microsoft Corporation","2014-06-30","2.63"
"MSFT","Microsoft Corporation","2013-06-30","2.67"
"MSFT","Microsoft Corporation","2012-06-30","2.73"
"MSFT","Microsoft Corporation","2011-06-30","2.69"
"MSFT","Microsoft Corporation","2010-06-30","2.1"
"MSFT","Microsoft Corporation","2009-06-30","1.7"
"MSFT","Microsoft Corporation","2008-06-30","1.88"
"MSFT","Microsoft Corporation","2007-06-30","1.49"
"MSFT","Microsoft Corporation","2006-06-30","1.27"
