Name,Season,Age,Tm,Pos,G,PER,TS,OWS,WS Per 48
Michael Jordan,1984-85,21,CHI,SG,82,25.8,.592,10.3,.213
Michael Jordan,1985-86,22,CHI,SG,18,27.5,.533,1.0,.160
Michael Jordan,1986-87,23,CHI,SG,82,29.8,.562,11.9,.247
Michael Jordan,1987-88,24,CHI,SG,82,31.7,.603,15.2,.308
Michael Jordan,1988-89,25,CHI,SG,81,31.1,.614,14.6,.292
Michael Jordan,1989-90,26,CHI,SG,82,31.2,.606,14.7,.285
Michael Jordan,1990-91,27,CHI,SG,82,31.6,.605,14.9,.321
Michael Jordan,1991-92,28,CHI,SG,80,27.7,.579,12.1,.274
Michael Jordan,1992-93,29,CHI,SG,78,29.7,.564,12.0,.270
Michael Jordan,1994-95,31,CHI,SG,17,22.1,.493,1.2,.167
Michael Jordan,1995-96,32,CHI,SG,82,29.4,.582,14.2,.317
Michael Jordan,1996-97,33,CHI,SG,82,27.8,.567,13.3,.283
Michael Jordan,1997-98,34,CHI,SG,82,25.2,.533,10.4,.238
Michael Jordan,2001-02,38,WAS,SF,60,20.7,.468,1.2,.075
Michael Jordan,2002-03,39,WAS,SF,82,19.3,.491,2.9,.099
Kareem Abul-Jabbar,1969-70,22,MIL,C,82,22.5,.552,9.3,0.187
Kareem Abul-Jabbar,1970-71,23,MIL,C,82,29.0,.606,17.0,0.326
Kareem Abul-Jabbar,1971-72,24,MIL,C,81,29.9,.603,18.3,0.34
Kareem Abul-Jabbar,1972-73,25,MIL,C,76,28.5,.580,14.4,0.322
Kareem Abul-Jabbar,1973-74,26,MIL,C,81,24.4,.564,10.6,0.25
Kareem Abul-Jabbar,1974-75,27,MIL,C,65,26.4,.550,8.1,0.225
Kareem Abul-Jabbar,1975-76,28,LAL,C,82,27.2,.567,9.8,0.242
Kareem Abul-Jabbar,1976-77,29,LAL,C,82,27.8,.608,11.9,0.283
Kareem Abul-Jabbar,1977-78,30,LAL,C,62,29.2,.589,7.7,0.257
Kareem Abul-Jabbar,1978-79,31,LAL,C,80,25.5,.612,8.8,0.219
Kareem Abul-Jabbar,1979-80,32,LAL,C,82,25.3,.639,9.5,0.227
Kareem Abul-Jabbar,1980-81,33,LAL,C,80,25.5,.616,9.6,0.23
Kareem Abul-Jabbar,1981-82,34,LAL,C,76,23.4,.608,6.9,0.192
Kareem Abul-Jabbar,1982-83,35,LAL,C,79,23.6,.619,8.0,0.205
Kareem Abul-Jabbar,1983-84,36,LAL,C,80,21.3,.608,5.9,0.163
Kareem Abul-Jabbar,1984-85,37,LAL,C,79,22.9,.628,7.6,0.204
Kareem Abul-Jabbar,1985-86,38,LAL,C,79,22.7,.603,7.6,0.197
Kareem Abul-Jabbar,1986-87,39,LAL,C,78,17.9,.597,4.5,0.148
Kareem Abul-Jabbar,1987-88,40,LAL,C,80,15.8,.570,2.6,0.111
Magic Johnson,1988-89,41,LAL,C,74,12.9,.511,0.9,0.082
Magic Johnson,1979-80,20,LAL,SG,77,20.6,.602,6.2,0.18
Magic Johnson,1980-81,21,LAL,SG,37,25.7,.582,3.8,0.225
Magic Johnson,1981-82,22,LAL,SG,78,22.9,.590,8.1,0.207
Magic Johnson,1982-83,23,LAL,SG,79,23.0,.603,8.8,0.207
Magic Johnson,1983-84,24,LAL,PG,67,22.6,.628,6.7,0.191
Magic Johnson,1984-85,25,LAL,PG,77,23.2,.637,9.5,0.22
Magic Johnson,1985-86,26,LAL,PG,72,24.0,.610,9,0.226
Magic Johnson,1987-88,28,LAL,PG,72,23.1,.581,12.1,0.263
Magic Johnson,1988-89,29,LAL,PG,77,26.9,.625,7.8,0.199
Magic Johnson,1989-90,30,LAL,PG,79,26.6,.622,12.1,0.267
Magic Johnson,1990-91,31,LAL,PG,79,25.1,.623,12.8,0.27
Bill Russel,1995-96,36,LAL,PF,32,21.1,.612,11.2,0.251
Bill Russel,1956-57,22,BOS,C,48,21.1,.450,2.6,0.181
Bill Russel,1957-58,23,BOS,C,69,22.8,.465,3.7,.206
Bill Russel,1958-59,24,BOS,C,70,20.7,.493,4.7,.208
Bill Russel,1959-60,25,BOS,C,74,20.2,.496,4.9,.211
Bill Russel,1960-61,26,BOS,C,78,18.1,.454,1.7,.181
Bill Russel,1961-62,27,BOS,C,76,19.6,.489,3.9,.217
Bill Russel,1962-63,28,BOS,C,78,18.2,.464,1.0,.185
Bill Russel,1963-64,29,BOS,C,78,19.3,.461,1.3,.238
Bill Russel,1964-65,30,BOS,C,78,19.5,.472,2.4,.234
Bill Russel,1966-67,32,BOS,C,81,18.6,.500,3.0,.178
Bill Russel,1967-68,33,BOS,C,78,17.0,.461,0.4,.133
Bill Russel,1968-69,34,BOS,C,77,15.2,.467,1.0,.159
LeBron James,2003-04,19,CLE,SG,79,18.3,.488,2.4,.078
LeBron James,2004-05,20,CLE,SF,80,25.7,.554,9.7,.203
LeBron James,2005-06,21,CLE,SF,79,28.1,.568,12.0,.232
LeBron James,2006-07,22,CLE,SF,78,24.5,.552,8.0,.206
LeBron James,2007-08,23,CLE,SF,75,29.1,.568,10.7,.242
LeBron James,2008-09,24,CLE,SF,81,31.7,.591,13.7,.318
LeBron James,2009-10,25,CLE,SF,76,31.1,.604,13.3,.299
LeBron James,2010-11,26,MIA,SF,79,27.3,.594,10.3,.244
LeBron James,2011-12,27,MIA,SF,62,30.7,.605,10.0,.298
LeBron James,2012-13,28,MIA,PF,76,31.6,.640,14.6,.322
LeBron James,2013-14,29,MIA,PF,77,29.3,.649,12.3,.264
LeBron James,2014-15,30,CLE,SF,69,25.9,.577,7.4,.199
LeBron James,2015-16,31,CLE,SF,76,27.5,.588,9.6,.242
LeBron James,2016-17,32,CLE,SF,74,27.0,.619,9.8,.221
LeBron James,2017-18,33,CLE,PF,82,28.6,.621,11.0,.221
LeBron James,2018-19,34,LAL,SF,55,25.6,.588,4.7,.179
LeBron James,2019-20,35,LAL,PG,67,25.5,.577,6.2,.204
LeBron James,2020-21,36,LAL,PG,45,24.2,.602,3.0,.179
LeBron James,2021-22,37,LAL,C,56,26.2,.619,5.2,.172
LeBron James,2022-23,38,LAL,PF,55,23.9,.583,3.2,.138
Kobe Bryant,1996-97,18,LAL,SF,71,14.4,.544,0.5,.079
Kobe Bryant,1997-98,19,LAL,SF,79,18.5,.548,4.5,.147
Kobe Bryant,1998-99,20,LAL,SG,50,18.9,.549,3.7,.130
Kobe Bryant,1999-00,21,LAL,SG,66,21.7,.546,6.1,.202
Kobe Bryant,2000-01,22,LAL,SG,68,24.5,.552,9.2,.196
Kobe Bryant,2001-02,23,LAL,SG,80,23.2,.544,8.9,.199
Kobe Bryant,2002-03,24,LAL,SG,82,26.2,.550,11.0,.210
Kobe Bryant,2003-04,25,LAL,SG,65,23.7,.551,7.8,.210
Kobe Bryant,2004-05,26,LAL,SG,66,23.3,.563,7.1,.145
Kobe Bryant,2005-06,27,LAL,SG,80,28.0,.559,11.6,.224
Kobe Bryant,2006-07,28,LAL,SG,77,26.1,.580,10.8,.199
Kobe Bryant,2007-08,29,LAL,SG,82,24.2,.576,9.5,.208
Kobe Bryant,2008-09,30,LAL,SG,82,24.4,.561,8.6,.206
