MJG,Game Type,TmG,Date,Venue,Opponent,Result,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TO,PF,PTS
1,Regular Season,1,26/10/1984,vs,Washington Bullets,W 109-93,40,5,16,0,0,6,7,1,5,6,7,2,4,5,2,16
2,Regular Season,2,27/10/1984,at,Milwaukee Bucks,L 108-106,34,8,13,0,0,5,5,3,2,5,5,2,1,3,4,21
3,Regular Season,3,29/10/1984,vs,Milwaukee Bucks,W 116-110,34,13,24,0,0,11,13,2,2,4,5,6,2,3,4,37
4,Regular Season,4,30/10/1984,at,Kansas City Kings,W 109-104,36,8,21,0,0,9,9,2,2,4,5,3,1,6,5,25
5,Regular Season,5,01/11/1984,at,Denver Nuggets,L 129-113,33,7,15,0,0,3,4,3,2,5,5,1,1,2,4,17
6,Regular Season,6,07/11/1984,at,Detroit Pistons,W 122-118,27,9,19,0,0,7,9,1,3,4,3,3,1,5,5,25
7,Regular Season,7,08/11/1984,at,New York Knicks,W 121-106,33,15,22,0,0,3,4,4,4,8,5,3,2,5,2,33
8,Regular Season,8,10/11/1984,at,Indiana Pacers,W 118-116,42,9,22,0,0,9,12,2,7,9,4,2,5,3,4,27
9,Regular Season,9,13/11/1984,vs,San Antonio Spurs,W 120-117,43,18,27,1,1,8,11,2,8,10,4,3,2,4,4,45
10,Regular Season,10,15/11/1984,vs,Boston Celtics,L 125-105,33,12,24,0,1,3,3,0,2,2,2,2,1,1,4,27
11,Regular Season,11,17/11/1984,vs,Philadelphia 76ers,L 109-100,44,4,17,0,0,8,8,0,5,5,7,5,2,4,5,16
12,Regular Season,12,19/11/1984,vs,Indiana Pacers,L 137-120,39,11,26,0,3,12,16,2,3,5,2,2,1,3,3,34
13,Regular Season,13,21/11/1984,at,Milwaukee Bucks,L 108-98,42,11,22,0,0,13,14,4,9,13,2,2,2,6,3,35
14,Regular Season,14,23/11/1984,at,Seattle Supersonics,W 113-94,30,9,13,0,0,5,6,0,4,4,3,4,1,4,4,23
15,Regular Season,15,24/11/1984,at,Portland Trail Blazers,L 141-131,41,10,24,0,1,10,10,3,3,6,8,3,1,4,4,30
